Date,SPY
1993-01-29,24.380455017089844
1993-02-01,24.553842544555664
1993-02-02,24.60586929321289
1993-02-03,24.86595916748047
1993-02-04,24.970020294189453
1993-02-05,24.95267105102539
1993-02-08,24.95267105102539
1993-02-09,24.77927017211914
1993-02-10,24.813955307006836
1993-02-11,24.935321807861328
1993-02-12,24.744585037231445
1993-02-16,24.120336532592773
1993-02-17,24.10299301147461
1993-02-18,24.085651397705078
1993-02-19,24.172365188598633
1993-02-22,24.259057998657227
1993-02-23,24.24172592163086
1993-02-24,24.553842544555664
1993-02-25,24.60586929321289
1993-02-26,24.640546798706055
1993-03-01,24.571182250976562
1993-03-02,24.935321807861328
1993-03-03,25.03937530517578
1993-03-04,24.90065574645996
1993-03-05,24.8312931060791
1993-03-08,25.386180877685547
1993-03-09,25.299488067626953
1993-03-10,25.351497650146484
1993-03-11,25.282129287719727
1993-03-12,25.022035598754883
1993-03-15,25.143417358398438
1993-03-16,25.143417358398438
1993-03-17,24.987356185913086
1993-03-18,25.143417358398438
1993-03-19,25.105363845825195
1993-03-22,24.965986251831055
1993-03-23,25.018259048461914
1993-03-24,25.018259048461914
1993-03-25,25.175052642822266
1993-03-26,25.035694122314453
1993-03-29,25.140207290649414
1993-03-30,25.209903717041016
1993-03-31,25.192481994628906
1993-04-01,25.105363845825195
1993-04-02,24.582698822021484
1993-04-05,24.70465660095215
1993-04-06,24.634971618652344
1993-04-07,24.722074508666992
1993-04-08,24.687227249145508
1993-04-12,25.035694122314453
1993-04-13,25.08795166015625
1993-04-14,25.05308723449707
1993-04-15,25.05308723449707
1993-04-16,25.05308723449707
1993-04-19,24.948566436767578
1993-04-20,24.826608657836914
1993-04-21,24.809175491333008
1993-04-22,24.49559783935547
1993-04-23,24.391056060791016
1993-04-26,24.199405670166016
1993-04-27,24.460739135742188
1993-04-28,24.408470153808594
1993-04-29,24.512998580932617
1993-04-30,24.5478572845459
1993-05-03,24.70465660095215
1993-05-04,24.79175567626953
1993-05-05,24.8614501953125
1993-05-06,24.774333953857422
1993-05-07,24.722074508666992
1993-05-10,24.774333953857422
1993-05-11,24.878887176513672
1993-05-12,24.84403419494629
1993-05-13,24.5478572845459
1993-05-14,24.53044319152832
1993-05-17,24.617542266845703
1993-05-18,24.600109100341797
1993-05-19,25.105363845825195
1993-05-20,25.175052642822266
1993-05-21,24.948566436767578
1993-05-24,25.05308723449707
1993-05-25,25.105363845825195
1993-05-26,25.418975830078125
1993-05-27,25.33186149597168
1993-05-28,25.209903717041016
1993-06-01,25.45381736755371
1993-06-02,25.418975830078125
1993-06-03,25.33186149597168
1993-06-04,25.2447452545166
1993-06-07,25.15763282775879
1993-06-08,24.931142807006836
1993-06-09,25.018259048461914
1993-06-10,25.035694122314453
1993-06-11,25.140207290649414
1993-06-14,25.105363845825195
1993-06-15,25.05308723449707
1993-06-16,25.105363845825195
1993-06-17,25.192481994628906
1993-06-18,24.985000610351562
1993-06-21,25.037649154663086
1993-06-22,25.055200576782227
1993-06-23,24.827091217041016
1993-06-24,25.160459518432617
1993-06-25,25.142929077148438
1993-06-28,25.42365074157715
1993-06-29,25.30084800720215
1993-06-30,25.30084800720215
1993-07-01,25.23064613342285
1993-07-02,25.09029197692871
1993-07-06,24.827091217041016
1993-07-07,24.897293090820312
1993-07-08,25.178022384643555
1993-07-09,25.24820327758789
1993-07-12,25.23064613342285
1993-07-13,25.213117599487305
1993-07-14,25.30084800720215
1993-07-15,25.195566177368164
1993-07-16,25.125385284423828
1993-07-19,25.10784339904785
1993-07-20,25.178022384643555
1993-07-21,25.160459518432617
1993-07-22,24.985000610351562
1993-07-23,25.10784339904785
1993-07-26,25.24820327758789
1993-07-27,25.23064613342285
1993-07-28,25.178022384643555
1993-07-29,25.318387985229492
1993-07-30,25.178022384643555
1993-08-02,25.24820327758789
1993-08-03,25.265737533569336
1993-08-04,25.265737533569336
1993-08-05,25.213117599487305
1993-08-06,25.24820327758789
1993-08-09,25.388566970825195
1993-08-10,25.371021270751953
1993-08-11,25.371021270751953
1993-08-12,25.30084800720215
1993-08-13,25.3359375
1993-08-16,25.476303100585938
1993-08-17,25.564010620117188
1993-08-18,25.704397201538086
1993-08-19,25.704397201538086
1993-08-20,25.721939086914062
1993-08-23,25.669288635253906
1993-08-24,25.950037002563477
1993-08-25,25.967565536499023
1993-08-26,25.98511505126953
1993-08-27,25.967565536499023
1993-08-30,26.072851181030273
1993-08-31,26.143030166625977
1993-09-01,26.107948303222656
1993-09-02,26.02021598815918
1993-09-03,26.03775978088379
1993-09-07,25.862306594848633
1993-09-08,25.774574279785156
1993-09-09,25.827207565307617
1993-09-10,26.055301666259766
1993-09-13,26.072851181030273
1993-09-14,25.967565536499023
1993-09-15,26.03775978088379
1993-09-16,25.932476043701172
1993-09-17,25.882205963134766
1993-09-20,25.670339584350586
1993-09-21,25.582059860229492
1993-09-22,25.79393196105957
1993-09-23,25.93515968322754
1993-09-24,25.864551544189453
1993-09-27,26.147014617919922
1993-09-28,26.094051361083984
1993-09-29,26.005769729614258
1993-09-30,25.95282554626465
1993-10-01,26.076412200927734
1993-10-04,26.111730575561523
1993-10-05,26.076412200927734
1993-10-06,26.058746337890625
1993-10-07,25.988136291503906
1993-10-08,26.023435592651367
1993-10-11,26.076412200927734
1993-10-12,26.111730575561523
1993-10-13,26.111730575561523
1993-10-14,26.447162628173828
1993-10-15,26.58839225769043
1993-10-18,26.51777458190918
1993-10-19,26.323572158813477
1993-10-20,26.3588809967041
1993-10-21,26.323572158813477
1993-10-22,26.20000457763672
